"Item_Identifier","Item_Outlet_Sales"
"FDW58",1810.91180373413
"FDW14",1585.32386394642
"NCN55",1872.16519928879
"FDQ58",2590.80298935395
"FDY38",5196.42655689098
"FDH56",1921.01983903793
"FDL48",576.3329478672
"FDC48",2794.13470140589
"FDN33",1490.14378885728
"FDA36",3066.07421342773
"FDT44",1988.27119255989
"FDQ56",1321.77065931584
"NCC54",1851.06449897227
"FDU11",2010.40713118088
"DRL59",874.985203842953
"FDM24",2554.12210213723
"FDI57",3090.63121040312
"DRC12",2761.62606093907
"NCM42",3170.23476899997
"FDA46",1143.24742286888
"FDA31",2818.00382686898
"NCJ31",3873.3954030519
"FDG52",803.762851638036
"NCL19",387.507104760364
"FDS10",3016.93680422811
"FDX22",1433.80079336978
"NCF19",931.971907123744
"NCE06",2536.20205423263
"DRC27",3859.58662900186
"FDE21",2025.64843854008
"NCR42",-1317.74645119556
"FDX51",2885.00813764121
"NCR06",447.808893262197
"FDU31",4960.18962141272
"FDU59",2717.56954847113
"FDR03",4767.53391810333
"FDS49",2771.32762203104
"FDD48",-89.2160932580708
"NCF18",3123.35480586161
"NCD43",3097.40136916858
"NCD54",2004.5770582214
"FDY19",-57.4202725666638
"NCY54",2834.04018728887
"NCL19",2046.95594731871
"FDP23",1523.70808113608
"FDC26",1811.71943730373
"FDR14",-1016.86052804241
"NCS41",3047.5448141661
"FDF41",4046.97233571648
"FDU34",1965.62419048779
"DRH11",898.134740369987
"FDM03",1746.73802368269
"FDS31",3051.11251877649
"FDJ20",2073.53028587766
"FDV44",4508.1942502008
"FDG02",3103.53387851259
"FDA09",2918.66435647014
"FDT04",685.500022360094
"FDL58",2248.47968855836
"FDE52",1462.37830957301
"FDW12",2523.76249350417
"FDL51",3547.58269016623
"NCY42",3705.43519922736
"FDR07",1653.87000649007
"FDN40",2359.97773271619
"FDB35",2961.2644379333
"FDA22",2741.13678508981
"NCL06",4112.00123126729
"FDI35",2923.7522073304
"NCW42",3408.29116847386
"NCX06",2950.04616525466
"FDC37",3186.32088147732
"FDZ14",1718.03352939389
"DRG49",3937.24480561048
"NCG06",3951.48516044987
"DRC36",2736.17809291321
"FDV21",44.8777657513107
"FDB53",2383.85895548297
"DRP47",2033.10834047402
"FDA14",2385.4442937
"DRC24",2583.51264563704
"FDW21",1366.17563282162
"NCH29",1530.50306617913
"FDU58",3060.61613281565
"FDY27",2938.99428017026
"FDV56",1949.2079576932
"FDT59",3668.36092196988
"FDB23",3602.70864752501
"FDR49",702.926758607508
"FDB03",1924.21665183565
"FDN39",2626.95511475254
"FDX02",4993.06526256407
"FDQ16",3163.91325181742
"FDU35",1323.34892307655
"NCT29",1950.81746124534
"FDZ27",832.092958138606
"FDN57",2364.39228401327
"FDA03",2122.84970509644
"FDZ36",2906.30263610374
"NCU05",1348.4605469143
"FDT39",2203.59831285745
"FDK60",1702.60535015068
"FDZ25",2857.03403615131
"FDG12",1975.27392627955
"DRB01",1108.03853595966
"NCC43",5361.30427485534
"FDX13",2010.67487001068
"FDM22",1016.41714620609
"FDJ03",2326.68984352486
"FDU14",3675.36634751328
"FDB33",655.275135554302
"FDP27",3030.35543537217
"FDO38",-660.928573013302
"FDE28",5142.2944846353
"FDO27",1703.75801314529
"DRL23",3146.97111487455
"FDS28",953.908175761054
"FDX24",1538.41083415249
"FDZ02",1750.40683704287
"FDL46",1773.68478854653
"FDS60",4289.50417609245
"NCO06",654.003966006214
"FDO16",1514.74151435208
"FDC60",1527.85014867654
"FDA48",3200.96451800448
"FDZ36",4433.86073228355
"FDK27",1877.02270394513
"FDW23",391.051555091054
"FDM14",1496.30801776732
"FDM14",1774.16567042251
"FDW60",2581.69066749811
"FDE21",1910.2607289468
"NCM42",1859.6883514298
"FDY59",-391.912332252148
"DRI49",1396.24434358706
"FDT28",533.715036783332
"FDQ22",410.124845799894
"FDR60",1352.98790623173
"FDC50",-396.178654692632
"FDV24",2439.43437912536
"DRF48",1044.44169092045
"FDQ47",687.84164939048
"DRN36",1652.90784601897
"NCY06",2157.89060765164
"FDE52",1666.41667298776
"NCB54",1920.64772802414
"NCF31",2578.39485857059
"FDJ08",4478.25870824845
"NCC07",1773.53628045328
"NCD19",2327.38631393443
"FDL46",1967.27452790266
"FDM20",3833.53955518592
"NCI06",943.314730971584
"DRM11",4192.043270353
"NCH07",2243.60594352404
"FDS23",2039.82793062069
"FDO49",612.561087124506
"FDS35",1153.6388092604
"DRK39",1276.8851163314
"DRI39",1039.03795045508
"FDV04",2657.20467408695
"NCN14",3012.69677994618
"FDH08",3693.35080739606
"FDS20",2929.80888839448
"FDV40",1349.17199486539
"FDZ48",-165.750395899676
"FDS24",2896.28604260542
"FDK44",2882.12773686997
"FDS48",2360.23064853635
"FDK26",1076.35639201064
"FDD23",2972.85817780526
"NCH54",2671.56431783635
"NCP14",-252.307076220734
"FDM60",-1178.72927586132
"FDV24",2504.42690113707
"FDH08",3352.04263107956
"FDS12",3450.52410456053
"FDR39",4324.95302953725
"FDP12",2151.86139083709
"DRF60",5169.60958328529
"FDC09",1856.07060151284
"FDF50",2829.58850420131
"FDG28",4032.75468256344
"NCE19",988.70054806928
"NCM53",-218.493480261922
"NCN18",1835.01557847674
"FDF32",3317.83977337642
"FDF11",3856.63537088224
"DRI59",3642.52560730205
"NCG54",2833.7409189571
"FDM44",1655.36979003943
"FDT57",3459.6998842195
"FDV24",2399.85899203949
"FDI50",1741.96317850476
"FDS09",1032.70298308608
"NCC31",3915.90600187248
"FDQ07",1609.77570369143
"FDC22",3164.0497042404
"FDZ56",2727.94583528576
"FDZ40",-1005.17758913147
"FDS46",3366.97090075821
"DRD24",2197.06397561518
"FDV45",3110.16526039169
"FDL26",2424.98553842596
"FDA56",1701.60194961989
"FDN27",1878.29520714812
"FDM20",3980.41448446224
"FDO16",1447.48925313156
"FDL03",3303.32152192952
"FDE58",1851.08134811125
"FDI02",3271.00940620698
"NCC55",-1236.86775125274
"FDR03",3052.21104861873
"FDB14",1618.49039627037
"FDR45",3837.40614699876
"NCN07",2130.87646698125
"FDM51",-188.602558711475
"FDT52",5355.95232073908
"FDL26",2470.66613802
"NCZ42",3759.99002608637
"DRI47",443.20754249507
"FDW40",2348.1745594542
"FDN34",2746.10539916272
